"What is keratoconus?","Keratoconus is a condition where the cornea thins and bulges into a cone shape, causing distorted vision."
"How is color blindness diagnosed?","Color blindness is diagnosed using Ishihara plates, which test the ability to distinguish colored numbers or patterns."
"What is the function of the ciliary body?","The ciliary body produces aqueous humor and controls the shape of the lens for focusing (accommodation)."
"What causes night blindness?","Night blindness is often caused by vitamin A deficiency, retinitis pigmentosa, or cataracts."
"What is a pterygium?","A pterygium is a benign growth of conjunctival tissue that extends onto the cornea, often due to UV exposure."
"How does a tonometer work?","A tonometer measures intraocular pressure (IOP) by applying a small force to flatten the cornea."
"What is the macula?","The macula is the central part of the retina responsible for sharp, detailed central vision."
"What is the difference between emmetropia and ametropia?","Emmetropia is normal vision, while ametropia refers to refractive errors like myopia or hyperopia."
"What is a retinal detachment?","Retinal detachment occurs when the retina peels away from the underlying tissue, requiring urgent surgery."
"How are bifocal lenses designed?","Bifocal lenses have two zones: upper for distance and lower for near vision, separated by a visible line."
"What is uveitis?","Uveitis is inflammation of the uvea (iris, ciliary body, choroid), causing pain, redness, and light sensitivity."
"What is the role of the choroid?","The choroid supplies oxygen and nutrients to the retina and absorbs excess light."
"What is a corneal abrasion?","A corneal abrasion is a scratch on the cornea, often causing pain, tearing, and sensitivity to light."
"How is amblyopia treated?","Amblyopia (lazy eye) is treated with patching the stronger eye, corrective lenses, or vision therapy."
"What is the Schirmer test?","The Schirmer test measures tear production using a strip of filter paper placed under the lower eyelid."
"What is a hyphema?","A hyphema is blood in the anterior chamber of the eye, usually caused by trauma."
"What is the function of the vitreous humor?","The vitreous humor maintains the eye's shape and transmits light to the retina."
"What is nystagmus?","Nystagmus is involuntary rhythmic eye movement, often due to neurological issues or inner ear problems."
"How does a retinoscope work?","A retinoscope shines light into the eye to observe the reflex and determine refractive error."
"What is blepharitis?","Blepharitis is inflammation of the eyelids, causing redness, itching, and crusting at the base of eyelashes."
"What is the Amsler grid test?","The Amsler grid detects macular degeneration by identifying distortions in a grid of horizontal and vertical lines."
"What causes strabismus?","Strabismus (misaligned eyes) can result from muscle imbalance, nerve issues, or uncorrected refractive errors."
"What is an optic disc?","The optic disc is the point where the optic nerve exits the retina; it lacks photoreceptors (blind spot)."
"How is presbyopia corrected?","Presbyopia is corrected with reading glasses, bifocals, or progressive lenses."
"What is trachoma?","Trachoma is a bacterial infection causing eyelid scarring and blindness, spread through poor hygiene."
"What is the difference between open-angle and angle-closure glaucoma?","Open-angle glaucoma develops slowly with a blocked drainage angle, while angle-closure is sudden and painful."
"What is a fluorescein angiogram?","A fluorescein angiogram uses dye and imaging to evaluate blood flow in the retina and choroid."
"What is the role of the lacrimal gland?","The lacrimal gland produces tears that lubricate the eye and protect against infection."
"What is a gonioscopy?","Gonioscopy examines the eye's drainage angle to diagnose glaucoma using a specialized lens."
"How is a contact lens prescription different from glasses?","Contact lens prescriptions include base curve, diameter, and material, accounting for lens-eye interaction."
"What is ectropion?","Ectropion is the outward turning of the eyelid, exposing the inner surface and causing dryness."
"What is the Hirschberg test?","The Hirschberg test assesses eye alignment by reflecting light off the cornea to check symmetry."
"What is a corneal ulcer?","A corneal ulcer is an open sore on the cornea, often caused by infection or injury."
"What is the function of rods and cones?","Rods detect low light and motion, while cones detect color and detail in bright light."
"What is entropion?","Entropion is the inward turning of the eyelid, causing eyelashes to rub against the cornea."
"What is the swinging flashlight test?","This test detects relative afferent pupillary defect (RAPD) by comparing pupillary light reflexes."
"What is a YAG laser capsulotomy?","A YAG laser capsulotomy clears cloudiness in the posterior lens capsule after cataract surgery."
"What is the difference between an optometrist and ophthalmologist?","Optometrists provide primary eye care, while ophthalmologists perform surgery and treat complex diseases."
"What is a visual field test?","A visual field test maps peripheral vision to detect gaps caused by glaucoma or neurological issues."
"What is photokeratitis?","Photokeratitis is corneal inflammation from UV exposure (e.g., snow blindness)."
"What is the C/D ratio in glaucoma?","The cup-to-disc (C/D) ratio measures optic nerve damage; a higher ratio indicates glaucoma risk."
"What is a scleral lens?","Scleral lenses are large contact lenses that vault over the cornea, used for irregular corneas or dry eyes."
"What is the Marcus Gunn pupil?","Marcus Gunn pupil is a RAPD where the affected pupil dilates instead of constricting when light is shone."
"How is diabetic retinopathy staged?","Diabetic retinopathy stages include mild NPDR, moderate NPDR, severe NPDR, and proliferative DR."
"What is a phacoemulsification?","Phacoemulsification is cataract surgery using ultrasound to break up and remove the cloudy lens."
"What is the Ishihara test?","The Ishihara test uses colored plates to diagnose red-green color vision deficiencies."
"What is the role of the zonules?","Zonules are fibers connecting the ciliary body to the lens, controlling its shape for focusing."
"What is a corneal topographer?","A corneal topographer maps the cornea's curvature to diagnose astigmatism or plan surgery."
"What is a subconjunctival hemorrhage?","A subconjunctival hemorrhage is a broken blood vessel under the conjunctiva, causing a red patch without pain."
"What is pseudostrabismus?","Pseudostrabismus is the appearance of crossed eyes due to a wide nasal bridge or epicanthal folds, common in infants."
"How is pediatric glaucoma treated?","Pediatric glaucoma is treated surgically (trabeculotomy, goniotomy) or with pressure-lowering eye drops."
"What is an accommodative esophoria?","Accommodative esophoria is inward eye misalignment during near tasks, often linked to uncorrected hyperopia."
"What is a congenital cataract?","A congenital cataract is cloudiness of the lens present at birth, requiring early surgery to prevent amblyopia."
"What is the 20-20-20 rule for digital eye strain?","Every 20 minutes, look at something 20 feet away for 20 seconds to reduce eye strain."
"How are toric contact lenses different?","Toric lenses correct astigmatism with different powers in meridians and have orientation markers to prevent rotation."
"What is a low vision aid?","Low vision aids include magnifiers, telescopic glasses, and electronic devices to enhance residual vision."
"What is a phakic IOL?","A phakic intraocular lens (IOL) is implanted in front of the natural lens to correct high refractive errors."
"What causes congenital nystagmus?","Congenital nystagmus is often idiopathic or linked to albinism, optic nerve hypoplasia, or retinal disorders."
"How is anisometropia managed in children?","Anisometropia is corrected with glasses, contact lenses, or patching to prevent amblyopia in the weaker eye."
"What is orthokeratology (Ortho-K)?","Ortho-K uses rigid gas-permeable lenses worn overnight to temporarily reshape the cornea and correct myopia."
"What is a blepharospasm?","Blepharospasm is involuntary eyelid twitching or closure, often treated with Botox injections."
"What is a Boston keratoprosthesis?","A Boston KPro is an artificial cornea replacement for severe corneal damage unresponsive to transplants."
"What is the Pelli-Robson chart used for?","The Pelli-Robson chart measures contrast sensitivity using letters of decreasing contrast."
"What is a goniotomy?","Goniotomy is a glaucoma surgery where a portion of the trabecular meshwork is removed to improve aqueous outflow."
"What is the difference between PRK and LASIK?","PRK removes the corneal epithelium, while LASIK creates a flap; PRK has longer recovery but no flap risks."
"What is a retinal pigment epithelium (RPE)?","The RPE nourishes retinal cells, absorbs stray light, and recycles visual pigments."
"How do multifocal contact lenses work?","Multifocal lenses have concentric rings for near, intermediate, and distance vision, blending focuses simultaneously."
"What is a microtropia?","Microtropia is a small-angle strabismus (<10 prism diopters) often with amblyopia and abnormal retinal correspondence."
"What is a keratometer?","A keratometer measures corneal curvature to determine astigmatism and fit contact lenses."
"What is Charles Bonnet syndrome?","Charles Bonnet syndrome causes visual hallucinations in patients with severe vision loss, unrelated to mental illness."
"What is a trabeculectomy?","Trabeculectomy creates a drainage channel in the sclera to lower intraocular pressure in glaucoma."
"What is the Hirschberg test used for?","The Hirschberg test assesses eye alignment by reflecting light off the cornea to check symmetry."
"What is a scleral buckle?","A scleral buckle is a silicone band placed around the eye to repair retinal detachment by indenting the sclera."
"What is a vitrectomy?","Vitrectomy removes the vitreous humor to treat retinal detachment, macular holes, or diabetic vitreous hemorrhage."
"What is the Maddox rod test?","The Maddox rod detects phorias by converting a light source into a line, assessing binocular alignment."
"What is a gonioscopy lens?","A gonioscopy lens with mirrors allows visualization of the anterior chamber angle to diagnose glaucoma."
"What is the difference between emmetropization and accommodation?","Emmetropization is eye growth achieving focus, while accommodation is lens adjustment for near vision."
"What is a corneal cross-linking (CXL)?","CXL uses UV light and riboflavin to strengthen corneal collagen in keratoconus."
"What is a retinal tear?","A retinal tear is a break in the retina, often preceding detachment, treated with laser or cryotherapy."
"What is the role of the ophthalmic artery?","The ophthalmic artery supplies blood to the eye, including the retina, choroid, and optic nerve."
"What is a Goldmann perimeter?","A Goldmann perimeter maps the visual field manually using moving light targets of varying sizes and brightness."
"What is a punctal plug?","Punctal plugs block tear drainage to relieve dry eyes; they can be temporary (collagen) or permanent (silicone)."
"What is a limbal relaxing incision (LRI)?","LRI corrects astigmatism during cataract surgery by making arcuate cuts in the corneal periphery."
"What is the PanOptic ophthalmoscope?","The PanOptic provides a wider view of the retina compared to standard direct ophthalmoscopes."
"What is the swinging flashlight test?","This test detects RAPD (relative afferent pupillary defect) by observing asymmetric pupil reactions."
"What is a Bangerter filter?","A Bangerter filter blurs vision in the stronger eye to treat amblyopia, applied as a translucent patch on glasses."
"What is the Lang stereotest?","The Lang stereotest assesses binocular vision in children using random-dot images without special glasses."
"What is a phlyctenule?","A phlyctenule is a small, raised nodule on the conjunctiva or cornea due to a hypersensitivity reaction."
"What is the Arden grating test?","The Arden grating test evaluates contrast sensitivity using sinusoidal grating patterns of varying spatial frequency."
"What is a Haidinger's brush?","Haidinger's brush is an entoptic phenomenon used to train fixation in patients with central vision loss."
"What is a retinal artery occlusion?","Retinal artery occlusion is a blockage causing sudden vision loss; it’s an emergency requiring immediate care."
"What is the Snellen equivalent for a LogMAR chart?","LogMAR 0.0 equals 20/20 Snellen; each 0.1 increase represents a 1-line worsening (e.g., 0.3 = 20/40)."
"What is the role of the Edinger-Westphal nucleus?","The Edinger-Westphal nucleus controls pupil constriction and accommodation via the oculomotor nerve."
"What is a dysphotopsia?","Dysphotopsia refers to glare, halos, or streaks of light post-cataract surgery, often from IOL edge design."
"What is the Teller acuity test?","The Teller acuity cards measure visual acuity in infants by observing their preference for striped patterns."
"What is a corneal dystrophy?","Corneal dystrophies are genetic disorders causing abnormal material buildup in corneal layers (e.g., Fuchs' dystrophy)."
"What is a miotic pupil?","A miotic pupil is abnormally constricted, seen in Horner's syndrome or iritis."
"What is the Van Herick technique?","Van Herick estimates anterior chamber depth using slit-lamp light beam and corneal thickness as reference."
"What is a hyperosmotic agent?","Hyperosmotic agents (e.g., glycerin) reduce corneal edema by drawing fluid out of the cornea during exams."
"What is optic neuritis?","Optic neuritis is inflammation of the optic nerve, often linked to multiple sclerosis, causing vision loss and pain with eye movement."
"What is thyroid eye disease (TED)?","TED is an autoimmune condition causing eye protrusion, eyelid retraction, and diplopia due to orbital inflammation and fat expansion."
"How is Leber hereditary optic neuropathy (LHON) diagnosed?","LHON is diagnosed via genetic testing for mitochondrial DNA mutations (e.g., m.11778G>A) and clinical findings of sudden vision loss."
"What is the International Classification of Diseases (ICD) code for glaucoma?","ICD-10 code H40 for glaucoma, with subcodes (e.g., H40.1 for open-angle glaucoma)."
"What is a visual evoked potential (VEP) test?","VEP measures electrical activity in the visual cortex to assess optic nerve function, used in diagnosing MS or optic pathway lesions."
"What is the CRAO (central retinal artery occlusion) 'cherry-red spot'?","A cherry-red spot is a pale retina with a red fovea due to blocked blood flow, seen in CRAO."
"How does OCT angiography work?","OCT angiography non-invasively images retinal blood flow using motion contrast without dye, useful for diabetic retinopathy or AMD."
"What is the Argyll Robertson pupil?","Argyll Robertson pupils constrict to near stimuli but not light, classically associated with neurosyphilis."
"What causes morning glory disc anomaly?","Morning glory disc is a congenital optic nerve malformation with a funnel-shaped excavation, often causing poor vision."
"What is the ISCEV standard for ERG?","ISCEV standardizes electroretinogram (ERG) protocols to evaluate retinal function (e.g., rod/cone responses, oscillatory potentials)."
"What is a trial frame?","A trial frame holds trial lenses during refraction to determine the best corrective prescription for a patient."
"What is the role of the superior colliculus in vision?","The superior colliculus coordinates eye movements and visual attention, integrating retinal and cortical inputs."
"What is a retinal migraine?","Retinal migraine causes temporary monocular vision loss or scintillations, often preceding a headache."
"How is retinopathy of prematurity (ROP) staged?","ROP stages range from 1 (mild demarcation line) to 5 (total retinal detachment), with 'plus disease' indicating severity."
"What is the Axenfeld-Rieger syndrome?","Axenfeld-Rieger syndrome involves iris and corneal abnormalities with glaucoma risk, linked to PITX2 or FOXC1 gene mutations."
"What is a Hess chart?","A Hess chart maps extraocular muscle function by plotting eye positions during gaze, used to diagnose strabismus or nerve palsies."
"What is the significance of the RAPD (relative afferent pupillary defect)?","RAPD indicates asymmetric optic nerve damage (e.g., optic neuritis, glaucoma) via the swinging flashlight test."
"What is a B-scan ultrasound?","B-scan ultrasound images the eye’s posterior segment when the view is obscured (e.g., dense cataracts, vitreous hemorrhage)."
"What is the Pulfrich phenomenon?","The Pulfrich phenomenon causes depth perception illusions due to asymmetric retinal signal timing (e.g., in optic neuropathy)."
"What is a Boston Type I keratoprosthesis?","Boston Type I KPro is a corneal implant for patients with severe corneal scarring and intact tear function."
"What is the Rosenbaum chart?","The Rosenbaum chart is a handheld near-vision acuity card with numbers, letters, or symbols in reduced Snellen notation."
"What is the Knapp procedure?","The Knapp procedure corrects large-angle esotropia by transposing horizontal rectus muscles upward to align the eyes."
"What is a Goldmann-Favre syndrome?","Goldmann-Favre syndrome is a rare retinal dystrophy with night blindness, vitreous degeneration, and ERG abnormalities."
"What is the Hering-Bielschowsky test?","This test diagnoses dissociated vertical deviation (DVD) by covering one eye and observing the other’s upward drift."
"What is a phacolytic glaucoma?","Phacolytic glaucoma occurs when lens proteins leak from a hypermature cataract, clogging the trabecular meshwork and raising IOP."
"What is the role of the lateral geniculate nucleus (LGN)?","The LGN relays visual information from the retina to the visual cortex, organizing inputs by eye and spatial frequency."
"What is the ICE (iridocorneal endothelial) syndrome?","ICE syndrome involves abnormal corneal endothelial cells causing iris atrophy, glaucoma, and corneal edema (mostly unilateral)."
"What is the Maddox wing test?","The Maddox wing measures heterophoria at near fixation by dissociating the eyes with red/white lenses and a scale."
"What is a cyclodialysis cleft?","A cyclodialysis cleft is a detachment of the ciliary body from the scleral spur, causing hypotony and vision loss."
"What is the Tumbling E chart?","The Tumbling E chart tests acuity in non-verbal patients by asking them to identify the direction of the letter 'E'."
"What is a choroidal nevus?","A choroidal nevus is a benign pigmented lesion in the choroid; monitoring is required for signs of melanoma transformation."
"What is the Alexander’s law in nystagmus?","Alexander’s law states that nystagmus intensity increases when gazing in the direction of the fast phase (e.g., in vestibular lesions)."
"What is a Salzmann nodular degeneration?","Salzmann nodules are raised, bluish-gray corneal lesions from chronic inflammation or trauma, often requiring surgical removal."
"What is the Gass classification of macular holes?","Gass stages: 1 (impending hole), 2 (small full-thickness), 3 (larger hole with operculum), 4 (hole with posterior vitreous detachment)."
"What is a Vogt-Koyanagi-Harada (VKH) syndrome?","VKH is an autoimmune uveitis with bilateral vision loss, meningeal symptoms, and skin/hair changes (e.g., poliosis)."
"What is a Haab striae?","Haab striae are horizontal breaks in Descemet’s membrane due to infantile glaucoma, causing corneal clouding."
"What is the Augsburger test?","The Augsburger test evaluates stereopsis using polarized glasses and a book with depth-dependent hidden images."
"What is a Fuchs heterochromic iridocyclitis?","Fuchs’ uveitis causes unilateral iris color changes, mild inflammation, and cataract/glaucoma risk without synechiae."